Skater,Height,Weight,Position,Last Amateur Club,League,7/11/2022,11/15/2022,1/31/2023,3/7/2023,8/8/2022,11/1/2022,3/1/2023,9/29/2022,11/30/2022,1/10/2023,3/28/2023,9/22/2022,1/23/2023,9/20/2022,12/23/2022,4/19/2023,12/19/2022,1/17/2023,3/23/2023,12/19/2022,11/3/2022,8/23/2022,1/19/2023,2/8/2023,3/31/2023,10/19/2022,11/16/2022,12/14/2022,1/18/2023,2/15/2023,3/15/2023,4/12/2023,11/8/2022,1/31/2023,10/3/2022,1/26/2023,4/20/2023,11/25/2022,3/9/2023,2/9/2023,11/7/2022,1/12/2023,1/16/2023,5/1/2023,5/3/2023,10/11/2022,12/15/2022,4/25/2023,5/5/2023,5/5/2023,5/5/2023,5/2/2023,12/15/2022,2/6/2023,5/12/2023,5/11/2023,5/15/2023,5/17/2023,5/18/2023,5/28/2023,5/28/2023,5/29/2023,5/30/2023,5/31/2023,6/1/2023,6/5/2023,6/5/2023,6/6/2023
"REHKOPF, CARSON","6' 2""",193,LEFT WING,KITCHENER,OHL,,,,,,44,42,27,57,62,54,,41,,,,,63,56,,,,,40,49,32,,,,,,,49,35,,64,60,,,48,,49,,,,57,34,32,,60,,60,,52,,83,67,,82,74,47,62,39,54,44,47,68,44
"SAWCHYN, GRACYN","5' 11""",157,CENTER,SEATTLE,WHL,,,,,,41,38,,,33,33,,,,,38,,58,13,44,,,,36,38,,,,,,31,28,,57,,67,34,22,22,69,,56,,,,,,41,,37,31,63,,55,52,24,39,,90,21,41,37,116,25,38,44,13,45
"ZIEMMER, KOEHN","6' 0""",202,RIGHT WING,PRINCE GEORGE,WHL,,30,,,28,23,23,24,15,21,20,,31,32,26,35,,56,45,40,31,30,,35,32,30,23,23,31,,,,39,40,,42,48,,,42,29,46,,30,,21,26,34,,49,33,30,,29,71,59,32,,54,75,71,50,65,69,50,31,40,46
"STRATHMANN, ANDREW","5' 10""",187,DEFENSEMAN,YOUNGSTOWN,USHL,,,,,,39,62,29,40,58,55,,54,,48,64,,45,54,,,,,,,,,,,,,,,65,,48,69,,48,51,,39,41,,,62,65,62,,70,,62,,54,62,77,74,,68,53,65,72,63,87,68,63,75,47
"MINNETIAN, ARAM","5' 11""",192,DEFENSEMAN,USA U-18,NTDP,,,,,,64,55,,59,,57,,64,,,57,,44,46,48,,,,37,42,,,,,,,,,61,,35,56,,,60,,63,49,,,61,81,66,,56,52,,,58,44,65,77,,55,55,43,64,62,53,62,52,50,48
"BJARNASON, CARSON","6' 3""",186,GOALIE,BRANDON,WHL,,32,,,,,,,48,50,38,,47,,,,,,80,41,,,,,,,31,30,,30,,,22,20,,49,52,,40,70,,,,,,,42,53,,52,53,59,,47,76,,23,,45,57,42,52,74,82,66,89,109,49
"LARDIS, NICK","5' 10""",165,LEFT WING,HAMILTON,OHL,,,,,,,47,,61,,41,,,,,48,,,49,,,,,,33,,,,,,32,30,,98,,,31,,57,,,,,,,,50,45,,32,30,,,,45,47,65,27,49,48,32,32,94,34,78,38,33,50
"BRZUSTEWICZ, HUNTER","6' 0""",190,DEFENSEMAN,KITCHENER,OHL,,,,,31,27,36,,45,49,53,,44,23,36,54,,55,44,,,26,,38,44,31,,,,,,,32,71,28,37,54,30,,45,31,20,31,,,16,22,27,,54,48,39,31,39,34,,61,,43,91,66,56,58,79,54,40,52,51
"DVORAK, JAKUB","6' 5""",203,DEFENSEMAN,LIBEREC,CZECHIA,,,31,,,,,,63,,77,,52,,,,,,,,,37,,,,,,,,,,,47,72,,,,,,67,,,,,,,53,69,,,,,,,,43,48,,44,61,53,66,61,49,82,85,97,52
"KLIMOVICH, YEGOR","5' 9""",159,LEFT WING,SIBIRSKIE,MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,62,,,,92,107,,,71,,,,53
"CAGNONI, LUCA","5' 9""",180,DEFENSEMAN,PORTLAND,WHL,,,,,,45,41,,,,71,,74,,34,20,20,31,35,28,,,,,,,,,,,,,37,76,,45,39,25,46,35,28,50,36,,,38,45,43,,43,58,33,,46,39,23,95,,58,43,110,42,44,33,51,45,34,54
"AUGUSTINE, TREY","6' 1""",183,GOALIE,USA U-18,NTDP,,,,,,,54,,,55,60,,57,,49,36,,43,51,34,,,,,,,,,,,,,,45,,54,53,,45,94,,,,,,,83,57,,53,46,45,,64,63,57,33,,77,41,37,55,73,47,55,55,45,55
"TOURIGNY, JORDAN","5' 11""",165,DEFENSEMAN,SHAWINIGAN,QMJHL,,,,,,,,31,51,56,,,,,46,,,,70,,,,,,,,32,,,,,,,,,,,,,52,24,54,,,,,67,77,,,,,,,97,,,,63,,124,86,,93,,,103,56
"LINDSTEIN, THEO","6' 0""",180,DEFENSEMAN,BRYNAS,SWEDEN,,28,,,32,37,50,,55,59,80,,40,25,39,40,,52,66,,25,24,,,26,16,18,26,,28,25,,33,46,25,62,71,,53,34,,59,,,,13,52,47,,72,23,55,,63,95,63,27,24,36,62,70,74,42,67,36,58,74,57
"PINELLI, LUCA","5' 9""",165,CENTER,OTTAWA,OHL,,,,,,55,44,,,,,,71,,25,31,,46,58,16,,,,,,,,,,,,,44,43,,50,59,23,25,31,,44,,,,,77,61,,59,,58,28,50,68,28,83,,37,37,67,61,100,40,58,51,82,58
"STRBAK, MAXIM","6' 2""",205,DEFENSEMAN,SIOUX FALLS,USHL,,29,30,29,,,63,,56,57,70,,33,,,,,,,,30,27,,39,43,,,,27,,,31,,51,31,,49,,,39,,29,19,,37,44,51,55,,50,45,46,,43,25,,46,,53,,52,49,34,60,41,71,78,59
"DRAGICEVIC, LUKAS","6' 1""",190,DEFENSEMAN,TRI-CITY,WHL,,27,27,27,,38,35,,28,25,35,,27,28,15,51,,42,36,49,,34,18,24,23,,,25,26,29,26,,28,16,32,25,27,,36,59,,36,32,,31,39,39,22,,27,27,31,19,24,32,33,56,,18,44,20,27,31,50,34,35,38,60
"HRABAL, MICHAEL","6' 6""",209,GOALIE,OMAHA,USHL,,21,35,,,34,,,47,52,58,,32,,42,46,,37,38,27,16,,,,51,,27,27,,,,,19,32,,29,45,29,28,73,,40,34,,,,43,70,,47,47,48,,42,36,46,26,,34,39,44,47,38,48,35,56,54,61
"LIND, KALAN","6' 0""",158,LEFT WING,RED DEER,WHL,,,,,,56,52,25,39,48,51,,37,,,,,64,52,,,,,30,34,26,26,31,,31,,29,50,66,,59,40,,39,49,,42,42,,,53,48,67,,44,41,49,,44,,84,75,,52,46,85,44,60,,45,62,44,62
"STRAMEL, CHARLIE","6' 3""",212,CENTER,WISCONSIN,BIG10,8,18,23,26,17,32,29,15,33,44,56,10,21,19,31,50,,33,42,37,14,8,19,,,11,28,,,,27,24,30,48,16,28,32,,38,32,23,43,22,,23,9,31,51,,34,59,32,27,30,38,44,70,,39,42,61,34,23,45,29,37,47,63
"SOTHERAN, CARTER","6' 3""",197,DEFENSEMAN,PORTLAND,WHL,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,59,,,,,58,64,,,,,,,,,,,,,,,,56,,,,77,72,,,65,,,55,64
"FISHER, JAKE","6' 2""",182,CENTER,CRETIN-DERHAM,HIGH-MN,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,130,,,,,,89,66
"ALLEN, CAMERON","6' 0""",194,DEFENSEMAN,GUELPH,OHL,9,,,,11,20,61,11,17,32,78,8,39,9,35,62,,60,43,,13,7,31,32,35,13,25,32,,32,,,18,55,5,30,35,,,44,14,55,38,,,31,12,40,,40,50,50,21,34,,,96,,47,99,68,54,52,,80,93,76,67
